X:Vel_RX-SWINGARM000-fuzajiaolian(rad/s),Y:Vel_RX-SWINGARM000-fuzajiaolian(rad/s)
0.000000000,0.000000000
0.000500000,0.000000000
0.001000000,0.000000000
0.001500000,0.000000000
0.002000000,0.000000000
0.002500000,0.000000000
0.003000000,0.000000000
0.003500000,0.000000000
0.004000000,0.000000000
0.004500000,0.000000000
0.005000000,0.000000000
0.005500000,0.000000000
0.006000000,0.000000000
0.006500000,0.000000000
0.007000000,0.000000000
0.007500000,0.000000000
0.008000000,0.000000000
0.008500000,0.000000000
0.009000000,0.000000000
0.009500000,0.000000000
0.010000000,0.000000000
0.010500000,0.000000000
0.011000000,0.000000000
0.011500000,0.000000000
0.012000000,0.000000000
0.012500000,0.000000000
0.013000000,0.000000000
0.013500000,0.000000000
0.014000000,0.000000000
0.014500000,0.000000000
0.015000000,0.000000000
0.015500000,0.000000000
0.016000000,0.000000000
0.016500000,0.000000000
0.017000000,0.000000000
0.017500000,0.000000000
0.018000000,0.000000000
0.018500000,0.000000000
0.019000000,0.000000000
0.019500000,0.000000000
0.020000000,0.000000000
0.020500000,0.000000000
0.021000000,0.000000000
0.021500000,0.000000000
0.022000000,0.000000000
0.022500000,0.000000000
0.023000000,0.000000000
0.023500000,0.000000000
0.024000000,0.000000000
0.024500000,0.000000000
0.025000000,0.000000000
0.025500000,0.000000000
0.026000000,0.000000000
0.026500000,0.000000000
0.027000000,0.000000000
0.027500000,0.000000000
0.028000000,0.000000000
0.028500000,0.000000000
0.029000000,0.000000000
0.029500000,0.000000000
0.030000000,0.000000000
0.030500000,0.000000000
0.031000000,0.000000000
0.031500000,0.000000000
0.032000000,0.007025886
0.032500000,0.011718214
0.033000000,0.012921817
0.033500000,0.014809490
0.034000000,0.018106696
0.034500000,0.022759479
0.035000000,0.029410186
0.035500000,0.034977606
0.036000000,0.041431088
0.036500000,0.047726204
0.037000000,0.055695388
0.037500000,0.064108042
0.038000000,0.073571905
0.038500000,0.085654655
0.039000000,0.098893789
0.039500000,0.108592403
0.040000000,0.120397303
0.040500000,0.131149928
0.041000000,0.141496767
0.041500000,0.150954280
0.042000000,0.160912611
0.042500000,0.171665552
0.043000000,0.181831153
0.043500000,0.195972383
0.044000000,0.209516307
0.044500000,0.224490111
0.045000000,0.238054974
0.045500000,0.247168457
0.046000000,0.258166182
0.046500000,0.268837230
0.047000000,0.283569508
0.047500000,0.299258394
0.048000000,0.312647039
0.048500000,0.327351367
0.049000000,0.338098852
0.049500000,0.357671929
0.050000000,0.376342077
0.050500000,0.395717837
0.051000000,0.418816297
0.051500000,0.439466321
0.052000000,0.463771666
0.052500000,0.485768057
0.053000000,0.506286114
0.053500000,0.528303153
0.054000000,0.552478768
0.054500000,0.578767410
0.055000000,0.608271366
0.055500000,0.638406842
0.056000000,0.666214312
0.056500000,0.693065331
0.057000000,0.719604358
0.057500000,0.740232831
0.058000000,0.763935008
0.058500000,0.787810037
0.059000000,0.805553745
0.059500000,0.824302334
0.060000000,0.845672397
0.060500000,0.864659724
0.061000000,0.881924614
0.061500000,0.896971855
0.062000000,0.916972880
0.062500000,0.930417719
0.063000000,0.946358973
0.063500000,0.963991655
0.064000000,0.982065453
0.064500000,1.000547235
0.065000000,1.018994091
0.065500000,1.035024061
0.066000000,1.048280504
0.066500000,1.062337284
0.067000000,1.072753032
0.067500000,1.084465763
0.068000000,1.093989167
0.068500000,1.108871891
0.069000000,1.123299765
0.069500000,1.135874390
0.070000000,1.151369385
0.070500000,1.161208877
0.071000000,1.170791361
0.071500000,1.181360663
0.072000000,1.190449164
0.072500000,1.196319651
0.073000000,1.202671172
0.073500000,1.210181672
0.074000000,1.218433334
0.074500000,1.225256090
0.075000000,1.232119520
0.075500000,1.238979270
0.076000000,1.249405767
0.076500000,1.258659465
0.077000000,1.266880734
0.077500000,1.272479230
0.078000000,1.278643656
0.078500000,1.282299792
0.079000000,1.287594928
0.079500000,1.293323944
0.080000000,1.298974226
0.080500000,1.303509849
0.081000000,1.308591421
0.081500000,1.315067902
0.082000000,1.321246815
0.082500000,1.329113874
0.083000000,1.338156343
0.083500000,1.345240273
0.084000000,1.351420308
0.084500000,1.355448966
0.085000000,1.357144228
0.085500000,1.359627885
0.086000000,1.359865980
0.086500000,1.361167578
0.087000000,1.362036916
0.087500000,1.362320425
0.088000000,1.362618437
0.088500000,1.363709006
0.089000000,1.365813130
0.089500000,1.367682075
0.090000000,1.368531227
0.090500000,1.368852673
0.091000000,1.369556890
0.091500000,1.370538950
0.092000000,1.371093349
0.092500000,1.371303580
0.093000000,1.371347713
0.093500000,1.371356251
0.094000000,1.371356251
0.094500000,1.371356251
0.095000000,1.371356251
0.095500000,1.371356251
0.096000000,1.371356251
0.096500000,1.371356251
0.097000000,1.371356251
0.097500000,1.371356251
0.098000000,1.371356251
0.098500000,1.371356251
0.099000000,1.371356251
0.099500000,1.371356251
0.100000000,1.371356251
0.100500000,1.371356251
0.101000000,1.371356251
0.101500000,1.371356251
0.102000000,1.371356251
0.102500000,1.371356251
0.103000000,1.371356251
0.103500000,1.371356251
0.104000000,1.371356251
0.104500000,1.371356251
0.105000000,1.371356251
0.105500000,1.371356251
0.106000000,1.371356251
0.106500000,1.371356251
0.107000000,1.371356251
0.107500000,1.371356251
0.108000000,1.371356251
0.108500000,1.371356251
0.109000000,1.371356251
0.109500000,1.371356251
0.110000000,1.371356251
0.110500000,1.371356251
0.111000000,1.371356251
0.111500000,1.371356251
0.112000000,1.371356251
0.112500000,1.371356251
0.113000000,1.371356251
0.113500000,1.371356251
0.114000000,1.371356251
0.114500000,1.371356251
0.115000000,1.371356251
0.115500000,1.371356251
0.116000000,1.371356251
0.116500000,1.371356251
0.117000000,1.371356251
0.117500000,1.371356251
0.118000000,1.371356251
0.118500000,1.371356251
0.119000000,1.371356251
0.119500000,1.371356251
0.120000000,1.371356251
0.120500000,1.371356251
0.121000000,1.371356251
0.121500000,1.371356251
0.122000000,1.371356251
0.122500000,1.371356251
0.123000000,1.371356251
0.123500000,1.371356251
0.124000000,1.371356251
0.124500000,1.371356251
0.125000000,1.371356251
0.125500000,1.371356251
0.126000000,1.371356251
0.126500000,1.371356251
0.127000000,1.371356251
0.127500000,1.371356251
0.128000000,1.371356251
0.128500000,1.371356251
0.129000000,1.371356251
0.129500000,1.371356251
0.130000000,1.371356251
0.130500000,1.371356251
0.131000000,1.371356251
0.131500000,1.371356251
0.132000000,1.371356251
0.132500000,1.371356251
0.133000000,1.371356251
0.133500000,1.371356251
0.134000000,1.371356251
0.134500000,1.371356251
0.135000000,1.371356251
0.135500000,1.371356251
0.136000000,1.371356251
0.136500000,1.371356251
0.137000000,1.371356251
0.137500000,1.371356251
0.138000000,1.371356251
0.138500000,1.371356251
0.139000000,1.371356251
0.139500000,1.371356251
0.140000000,1.371356251
0.140500000,1.371356251
0.141000000,1.371356251
0.141500000,1.371356251
0.142000000,1.371356251
0.142500000,1.371356251
0.143000000,1.371356251
0.143500000,1.369925941
0.144000000,1.361832446
0.144500000,1.360624418
0.145000000,1.359843932
0.145500000,1.359843932
0.146000000,1.359843932
0.146500000,1.359843932
0.147000000,1.359843932
0.147500000,1.359843932
0.148000000,1.355427909
0.148500000,1.355427909
0.149000000,1.355353695
0.149500000,1.355353695
0.150000000,1.355353695
0.150500000,1.355353695
0.151000000,1.355353695
0.151500000,1.355353695
0.152000000,1.355353695
0.152500000,1.355353695
0.153000000,1.355353695
0.153500000,1.355353695
0.154000000,1.355353695
0.154500000,1.355353695
0.155000000,1.355353695
0.155500000,1.344313144
0.156000000,1.340485233
0.156500000,1.338616228
0.157000000,1.338352303
0.157500000,1.338352303
0.158000000,1.338352303
0.158500000,1.338352303
0.159000000,1.338352303
0.159500000,1.333880220
0.160000000,1.329952295
0.160500000,1.324727320
0.161000000,1.321760933
0.161500000,1.320081785
0.162000000,1.319877174
0.162500000,1.317378504
0.163000000,1.317378504
0.163500000,1.312775345
0.164000000,1.305550371
0.164500000,1.305550371
0.165000000,1.303123615
0.165500000,1.298709519
0.166000000,1.292053098
0.166500000,1.273815687
0.167000000,1.257552391
0.167500000,1.238891792
0.168000000,1.217883477
0.168500000,1.203095121
0.169000000,1.187922493
0.169500000,1.177288407
0.170000000,1.167314939
0.170500000,1.151594609
0.171000000,1.128417913
0.171500000,1.113915307
0.172000000,1.100184202
0.172500000,1.078457573
0.173000000,1.066612260
0.173500000,1.061166706
0.174000000,1.057605595
0.174500000,1.045852954
0.175000000,1.036647045
0.175500000,1.026905976
0.176000000,1.007832692
0.176500000,0.986595454
0.177000000,0.969990666
0.177500000,0.948876414
0.178000000,0.931448239
0.178500000,0.916605836
0.179000000,0.904011044
0.179500000,0.892892351
0.180000000,0.882882409
0.180500000,0.870093174
0.181000000,0.857428270
0.181500000,0.844997682
0.182000000,0.833357004
0.182500000,0.828716919
0.183000000,0.826320946
0.183500000,0.822286788
0.184000000,0.816959502
0.184500000,0.809448099
0.185000000,0.805111030
0.185500000,0.805111030
0.186000000,0.805111030
0.186500000,0.805111030
0.187000000,0.805111030
0.187500000,0.798953867
0.188000000,0.793575568
0.188500000,0.784523908
0.189000000,0.783841043
0.189500000,0.783627433
0.190000000,0.782022264
0.190500000,0.777477856
0.191000000,0.772080269
0.191500000,0.766912738
0.192000000,0.764695390
0.192500000,0.759899333
0.193000000,0.755310618
0.193500000,0.753892645
0.194000000,0.753497162
0.194500000,0.752154211
0.195000000,0.750419162
