X:Vel_RX-GEAR22-fuzajiaolian(rad/s),Y:Vel_RX-GEAR22-fuzajiaolian(rad/s)
0.000000000,0.000000000
0.000500000,0.000000000
0.001000000,0.000000000
0.001500000,0.000000000
0.002000000,0.000000000
0.002500000,0.000000000
0.003000000,0.000000000
0.003500000,0.000000000
0.004000000,0.000000000
0.004500000,0.000000000
0.005000000,0.000000000
0.005500000,0.000000000
0.006000000,0.000000000
0.006500000,0.000000000
0.007000000,0.000000000
0.007500000,0.000000000
0.008000000,0.000000000
0.008500000,0.000000000
0.009000000,0.000000000
0.009500000,0.000000000
0.010000000,0.000000000
0.010500000,0.000000000
0.011000000,0.000000000
0.011500000,0.000000000
0.012000000,0.000000000
0.012500000,0.000000000
0.013000000,0.000000000
0.013500000,0.000000000
0.014000000,0.000000000
0.014500000,0.000000000
0.015000000,0.000000000
0.015500000,0.000000000
0.016000000,0.000000000
0.016500000,0.000000000
0.017000000,0.000000000
0.017500000,0.000000000
0.018000000,-0.030953074
0.018500000,-0.099038172
0.019000000,-0.199581745
0.019500000,-0.258512070
0.020000000,-0.291417011
0.020500000,-0.329204362
0.021000000,-0.368529677
0.021500000,-0.423730034
0.022000000,-0.478632610
0.022500000,-0.535318586
0.023000000,-0.559421200
0.023500000,-0.577109951
0.024000000,-0.605229262
0.024500000,-0.702206033
0.025000000,-0.790873202
0.025500000,-0.790873202
0.026000000,-0.790873202
0.026500000,-0.790873202
0.027000000,-0.790873202
0.027500000,-0.790873202
0.028000000,-0.790873202
0.028500000,-0.790873202
0.029000000,-0.790873202
0.029500000,-0.790873202
0.030000000,-0.793876009
0.030500000,-0.793884846
0.031000000,-0.805427166
0.031500000,-0.814105531
0.032000000,-0.344993027
0.032500000,-0.037205270
0.033000000,0.031443034
0.033500000,-0.044708298
0.034000000,-0.083215944
0.034500000,-0.116504177
0.035000000,-0.134547455
0.035500000,-0.214716299
0.036000000,-0.125195605
0.036500000,-0.104732636
0.037000000,-0.155748999
0.037500000,-0.230089078
0.038000000,-0.305401196
0.038500000,-0.313307696
0.039000000,-0.186888948
0.039500000,-0.073846618
0.040000000,-0.241605670
0.040500000,-0.184037616
0.041000000,-0.181961729
0.041500000,-0.173227019
0.042000000,-0.185766499
0.042500000,-0.192482594
0.043000000,-0.237504395
0.043500000,-0.325197688
0.044000000,-0.378376441
0.044500000,-0.127758337
0.045000000,-0.087965183
0.045500000,-0.155595245
0.046000000,-0.213201423
0.046500000,-0.389637447
0.047000000,-0.381307803
0.047500000,-0.405458269
0.048000000,-0.464719125
0.048500000,-0.433296397
0.049000000,-0.686653978
0.049500000,-0.564406497
0.050000000,-0.548900613
0.050500000,-0.454404287
0.051000000,-0.448338852
0.051500000,-0.429547486
0.052000000,-0.439238407
0.052500000,-0.573309670
0.053000000,-0.615687323
0.053500000,-0.662779790
0.054000000,-0.695319086
0.054500000,-0.889655134
0.055000000,-0.893412178
0.055500000,-0.741093824
0.056000000,-0.911166079
0.056500000,-0.834349056
0.057000000,-0.799692096
0.057500000,-0.942130316
0.058000000,-0.804055664
0.058500000,-0.667356729
0.059000000,-0.653267844
0.059500000,-0.716500410
0.060000000,-0.696334187
0.060500000,-0.755620632
0.061000000,-0.781479927
0.061500000,-0.935497972
0.062000000,-0.767422876
0.062500000,-0.908106586
0.063000000,-0.868836724
0.063500000,-0.886921931
0.064000000,-0.891316064
0.064500000,-0.961190768
0.065000000,-0.896921842
0.065500000,-0.890646533
0.066000000,-0.923179666
0.066500000,-0.948992645
0.067000000,-1.141301210
0.067500000,-1.136678783
0.068000000,-1.186151827
0.068500000,-0.893446076
0.069000000,-0.730924177
0.069500000,-0.990459634
0.070000000,-1.041417672
0.070500000,-1.168128860
0.071000000,-1.104000228
0.071500000,-1.033889899
0.072000000,-0.915804388
0.072500000,-1.093186540
0.073000000,-1.305210066
0.073500000,-1.180191159
0.074000000,-0.944082328
0.074500000,-0.797988528
0.075000000,-0.975467050
0.075500000,-1.027256294
0.076000000,-0.826491534
0.076500000,-0.700173356
0.077000000,-0.694970649
0.077500000,-0.924263713
0.078000000,-0.868393538
0.078500000,-0.999426101
0.079000000,-1.167155592
0.079500000,-1.083185733
0.080000000,-0.993702634
0.080500000,-1.098385778
0.081000000,-1.197389192
0.081500000,-1.419167959
0.082000000,-1.479193438
0.082500000,-1.466187457
0.083000000,-1.403802481
0.083500000,-1.303628142
0.084000000,-1.387004651
0.084500000,-1.264868149
0.085000000,-1.326459340
0.085500000,-1.284060337
0.086000000,-1.290306697
0.086500000,-1.207579561
0.087000000,-1.187923757
0.087500000,-1.193340746
0.088000000,-1.287223512
0.088500000,-1.381497551
0.089000000,-1.410487962
0.089500000,-1.422664219
0.090000000,-1.437192544
0.090500000,-1.424781072
0.091000000,-1.417186371
0.091500000,-1.371984729
0.092000000,-1.342121471
0.092500000,-1.330462424
0.093000000,-1.327991904
0.093500000,-1.328986678
0.094000000,-1.328986678
0.094500000,-1.328986678
0.095000000,-1.328986678
0.095500000,-1.328986678
0.096000000,-1.328986678
0.096500000,-1.328986678
0.097000000,-1.328986678
0.097500000,-1.328986678
0.098000000,-1.328986678
0.098500000,-1.328986678
0.099000000,-1.328986678
0.099500000,-1.328986678
0.100000000,-1.328986678
0.100500000,-1.328986678
0.101000000,-1.328986678
0.101500000,-1.328986678
0.102000000,-1.328986678
0.102500000,-1.328986678
0.103000000,-1.328986678
0.103500000,-1.328986678
0.104000000,-1.328986678
0.104500000,-1.328986678
0.105000000,-1.328986678
0.105500000,-1.328986678
0.106000000,-1.328986678
0.106500000,-1.328986678
0.107000000,-1.328986678
0.107500000,-1.328986678
0.108000000,-1.328986678
0.108500000,-1.328986678
0.109000000,-1.328986678
0.109500000,-1.328986678
0.110000000,-1.328986678
0.110500000,-1.328986678
0.111000000,-1.328986678
0.111500000,-1.328986678
0.112000000,-1.328986678
0.112500000,-1.311097530
0.113000000,-1.200926888
0.113500000,-1.118247930
0.114000000,-1.048832620
0.114500000,-1.017323761
0.115000000,-1.005022945
0.115500000,-0.991638564
0.116000000,-0.978955439
0.116500000,-0.968437014
0.117000000,-0.958659878
0.117500000,-0.950627298
0.118000000,-0.946623113
0.118500000,-0.946428471
0.119000000,-0.946428471
0.119500000,-0.946428471
0.120000000,-0.946428471
0.120500000,-0.946428471
0.121000000,-0.946428471
0.121500000,-0.946428471
0.122000000,-0.940291957
0.122500000,-0.935810109
0.123000000,-0.933633499
0.123500000,-0.932276553
0.124000000,-0.932105758
0.124500000,-0.926064411
0.125000000,-0.924852445
0.125500000,-0.924310482
0.126000000,-0.923923372
0.126500000,-0.923923372
0.127000000,-0.923923372
0.127500000,-0.923923372
0.128000000,-0.923923372
0.128500000,-0.923923372
0.129000000,-0.923923372
0.129500000,-0.923923372
0.130000000,-0.923923372
0.130500000,-0.923923372
0.131000000,-0.923923372
0.131500000,-0.923923372
0.132000000,-0.923923372
0.132500000,-0.923923372
0.133000000,-0.923923372
0.133500000,-0.923923372
0.134000000,-0.923923372
0.134500000,-0.923923372
0.135000000,-0.923923372
0.135500000,-0.923923372
0.136000000,-0.923923372
0.136500000,-0.923923372
0.137000000,-0.923923372
0.137500000,-0.923923372
0.138000000,-0.923923372
0.138500000,-0.923923372
0.139000000,-0.923923372
0.139500000,-0.923923372
0.140000000,-0.923923372
0.140500000,-0.923923372
0.141000000,-0.923923372
0.141500000,-0.923923372
0.142000000,-0.923923372
0.142500000,-0.923923372
0.143000000,-0.923923372
0.143500000,-1.010713027
0.144000000,-1.488376832
0.144500000,-1.557817672
0.145000000,-1.602789836
0.145500000,-1.602789836
0.146000000,-1.539185047
0.146500000,-1.337478804
0.147000000,-1.232630607
0.147500000,-1.117150534
0.148000000,-1.250973303
0.148500000,-1.106489609
0.149000000,-1.026027819
0.149500000,-0.944485521
0.150000000,-0.826630715
0.150500000,-0.782247339
0.151000000,-0.773108950
0.151500000,-0.759581426
0.152000000,-0.759286578
0.152500000,-0.759220278
0.153000000,-0.759220278
0.153500000,-0.759220278
0.154000000,-0.759220278
0.154500000,-0.759220278
0.155000000,-0.759220278
0.155500000,-1.400086528
0.156000000,-1.632303595
0.156500000,-1.748845376
0.157000000,-1.622605818
0.157500000,-1.622605818
0.158000000,-1.593917824
0.158500000,-1.483324895
0.159000000,-1.327284474
0.159500000,-1.384995443
0.160000000,-1.223301784
0.160500000,-1.164308065
0.161000000,-0.991465965
0.161500000,-0.933032402
0.162000000,-0.934733699
0.162500000,-1.035921583
0.163000000,-0.940476208
0.163500000,-1.141883005
0.164000000,-1.386819946
0.164500000,-1.088999003
0.165000000,-0.980530820
0.165500000,-0.980759371
0.166000000,-1.112920558
0.166500000,-1.859727801
0.167000000,-2.051253821
0.167500000,-1.977350621
0.168000000,-2.192356050
0.168500000,-1.795974616
0.169000000,-1.513247626
0.169500000,-1.212082535
0.170000000,-1.081223128
0.170500000,-1.266511124
0.171000000,-1.444782793
0.171500000,-1.319755522
0.172000000,-1.308681328
0.172500000,-1.286265617
0.173000000,-0.889203847
0.173500000,-0.575137741
0.174000000,-0.334448188
0.174500000,-0.818308124
0.175000000,-1.044659227
0.175500000,-1.139101109
0.176000000,-1.348413115
0.176500000,-1.383726716
0.177000000,-1.301755582
0.177500000,-1.431911694
0.178000000,-1.450869807
0.178500000,-1.314207785
0.179000000,-1.136328409
0.179500000,-1.043739962
0.180000000,-1.054131941
0.180500000,-1.174978576
0.181000000,-1.199001134
0.181500000,-1.139166041
